Id,Position,First Name,Last Name,Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Starter
28473,RB,Carlos,Hyde,Carlos Hyde,10.8,7,6500,SF@CLE,SFO,CLE,Q,Foot,Y
15006,RB,Shaun,Draughn,Shaun Draughn,6,9,6500,SF@CLE,SFO,CLE,,,Y
39512,RB,Kendall,Gaskins,Kendall Gaskins,1.1,5,4700,SF@CLE,SFO,CLE,,,Y
22258,RB,Travaris,Cadet,Travaris Cadet,0.8,3,4500,SF@CLE,SFO,CLE,,,Y
14406,RB,Bruce,Miller,Bruce Miller,1.4,12,4500,SF@CLE,SFO,CLE,,,Y
30447,RB,Todd,Gurley,Todd Gurley,14,10,7900,DET@STL,STL,DET,,,Y
31261,RB,Tre,Mason,Tre Mason,3.1,9,4600,DET@STL,STL,DET,,,Y
39649,RB,Benny,Cunningham,Benny Cunningham,3.1,12,4500,DET@STL,STL,DET,,,Y
21970,RB,Doug,Martin,Doug Martin,14,12,8000,NO@TB,TAM,NOR,,,Y
31871,RB,Charles,Sims,Charles Sims,8.6,12,4900,NO@TB,TAM,NOR,,,Y
22958,RB,Bobby,Rainey,Bobby Rainey,0.4,12,4500,NO@TB,TAM,NOR,,,Y
47828,RB,Antonio,Andrews,Antonio Andrews,8.5,10,5300,TEN@NYJ,TEN,NYJ,,,Y
28249,RB,David,Cobb,David Cobb,1.5,3,4500,TEN@NYJ,TEN,NYJ,,,Y
11454,RB,Dexter,McCluster,Dexter McCluster,6.7,10,4500,TEN@NYJ,TEN,NYJ,Q,Knee,Y
29991,RB,Bishop,Sankey,Bishop Sankey,3.8,10,4500,TEN@NYJ,TEN,NYJ,,,Y
22113,RB,Alfred,Morris,Alfred Morris,5,12,5500,WAS@CHI,WAS,CHI,,,Y
30244,RB,Matt,Jones,Matt Jones,8.3,11,5100,WAS@CHI,WAS,CHI,,,Y
32418,RB,Christine,Michael,Christine Michael,1.2,5,4800,WAS@CHI,WAS,CHI,,,Y
24891,RB,Chris,Thompson,Chris Thompson,6,11,4800,WAS@CHI,WAS,CHI,Q,Shoulder,Y
10695,RB,Darrel,Young,Darrel Young,0.3,12,4500,WAS@CHI,WAS,CHI,,,Y
6664,TE,Jacob,Tamme,Jacob Tamme,7.6,11,5200,ATL@CAR,ATL,CAR,,,Y
29725,TE,Levine,Toilolo,Levine Toilolo,0.7,12,4500,ATL@CAR,ATL,CAR,,,Y
45723,TE,Crockett,Gillmore,Crockett Gillmore,8.2,10,5200,SEA@BAL,BAL,SEA,Q,Back,Y
28346,TE,Maxx,Williams,Maxx Williams,3.2,10,4500,SEA@BAL,BAL,SEA,Q,Concussion,Y
62510,TE,Nick,Boyle,Nick Boyle,2.4,11,4500,SEA@BAL,BAL,SEA,O,Suspension,Y
14362,TE,Charles,Clay,Charles Clay,7.9,12,5100,BUF@PHI,BUF,PHI,,,Y
31188,TE,Chris,Gragg,Chris Gragg,1.6,9,4500,BUF@PHI,BUF,PHI,,,Y
7918,TE,Matthew,Mulligan,Matthew Mulligan,0.1,12,4500,BUF@PHI,BUF,PHI,,,Y
